Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-53.111,69,0.119,-0.305,1.591,29.176,53.415,66.791,20,19,-18,-5.26,-2.72,-105.13,0.606,-0.047,0.022,-0.794
23-36-53.121,70,0.115,-0.320,1.670,90.193,43.030,60.516,21,19,-18,-4.92,-2.14,-104.51,0.611,-0.041,0.023,-0.790
23-36-53.131,71,0.115,-0.250,1.698,149.432,28.474,49.406,21,19,-19,-3.96,-1.68,-103.95,0.615,-0.033,0.018,-0.787
23-36-53.140,72,0.101,-0.097,1.730,223.497,13.706,39.050,21,18,-20,-2.39,-1.39,-103.48,0.619,-0.022,0.009,-0.785
23-36-53.152,73,0.106,0.067,1.749,324.351,-2.169,35.281,22,17,-22,-0.04,-1.26,-103.10,0.622,-0.009,-0.007,-0.783
23-36-53.161,74,0.072,0.212,1.841,419.924,-21.553,39.765,22,15,-25,3.32,-1.32,-102.75,0.624,0.009,-0.030,-0.781
23-36-53.171,75,0.057,0.251,1.924,439.649,-47.960,44.205,22,12,-28,7.56,-1.60,-102.36,0.626,0.030,-0.060,-0.777
23-36-53.181,76,0.069,0.204,1.908,356.182,-91.123,37.612,22,10,-31,11.86,-2.20,-102.01,0.627,0.050,-0.092,-0.772
23-36-53.191,77,0.068,0.153,1.864,208.798,-142.979,15.999,22,8,-33,15.22,-3.23,-101.90,0.627,0.062,-0.120,-0.767
23-36-53.201,78,0.135,0.364,1.447,121.527,-204.839,-9.748,21,6,-34,17.23,-4.72,-102.21,0.625,0.062,-0.142,-0.765
23-36-53.211,79,0.088,0.378,1.102,18.508,-212.094,-10.320,19,5,-35,18.37,-6.66,-102.94,0.621,0.054,-0.160,-0.765
23-36-53.221,80,0.033,0.340,0.860,-56.182,-187.740,-0.152,18,5,-35,18.56,-8.61,-103.66,0.618,0.041,-0.172,-0.766
23-36-53.231,81,-0.070,0.229,0.690,-114.134,-165.772,15.915,16,5,-35,18.03,-10.37,-104.23,0.615,0.025,-0.178,-0.768
23-36-53.240,82,0.095,0.031,0.344,-196.692,-157.627,37.030,15,6,-34,16.84,-12.00,-104.55,0.614,0.007,-0.178,-0.769
23-36-53.250,83,0.157,-0.076,0.271,-164.354,-157.244,36.402,14,7,-33,14.89,-13.60,-104.63,0.614,-0.014,-0.174,-0.770
23-36-53.314,84,-0.063,0.234,0.034,167.561,106.006,-6.945,14,0,-38,22.23,-17.70,-103.87,0.621,-0.001,-0.243,-0.745
23-36-53.316,85,0.629,0.394,0.044,179.145,103.564,-3.440,14,0,-39,23.90,-16.73,-103.47,0.623,0.015,-0.249,-0.741
23-36-53.320,86,0.022,0.174,-0.016,90.004,112.800,-10.054,14,0,-39,23.90,-16.73,-103.47,0.623,0.015,-0.249,-0.741
23-36-53.330,87,-0.045,0.061,0.096,7.826,122.908,-10.601,15,0,-39,24.61,-15.66,-103.07,0.625,0.027,-0.248,-0.740
23-36-53.341,88,-0.045,0.018,0.335,-111.355,155.360,-27.055,16,0,-39,24.41,-14.45,-102.64,0.627,0.035,-0.241,-0.740
23-36-53.350,89,-0.016,0.122,0.598,-190.908,173.973,-45.223,17,1,-38,23.10,-12.89,-102.27,0.628,0.039,-0.224,-0.744
23-36-53.360,90,0.056,0.335,0.993,-189.798,192.927,-54.221,18,3,-37,21.13,-11.08,-102.03,0.629,0.041,-0.202,-0.749
23-36-53.370,91,0.089,0.401,1.381,-150.367,213.055,-49.704,20,4,-36,19.25,-9.05,-101.85,0.630,0.045,-0.178,-0.755
23-36-53.380,92,0.129,0.473,1.777,-77.347,203.904,-45.009,21,5,-35,17.80,-6.89,-101.63,0.630,0.052,-0.157,-0.759
23-36-53.390,93,0.142,0.582,2.091,10.914,173.134,-46.528,22,6,-34,17.13,-4.84,-101.46,0.630,0.062,-0.142,-0.761
23-36-53.400,94,0.123,0.672,2.233,21.676,131.223,-46.442,22,6,-34,17.27,-3.10,-101.41,0.629,0.074,-0.133,-0.762
23-36-53.410,95,0.111,0.661,2.158,-36.398,82.941,-33.050,23,6,-34,17.41,-1.77,-101.47,0.627,0.084,-0.127,-0.764
23-36-53.420,96,0.037,0.592,2.082,-63.204,39.567,-12.395,24,6,-33,17.00,-0.94,-101.53,0.627,0.087,-0.120,-0.765
23-36-53.431,97,0.009,0.506,1.913,-57.921,-0.246,5.674,24,7,-33,16.38,-0.58,-101.52,0.627,0.086,-0.113,-0.766
23-36-53.440,98,-0.004,0.456,1.768,-36.557,-30.529,15.196,24,7,-33,15.82,-0.64,-101.47,0.627,0.083,-0.110,-0.766
23-36-53.450,99,0.020,0.460,1.717,16.149,-50.953,17.601,24,8,-33,15.52,-1.00,-101.41,0.628,0.079,-0.110,-0.766
23-36-53.460,100,0.079,0.592,1.711,82.393,-65.347,22.226,23,7,-33,15.76,-1.56,-101.38,0.629,0.076,-0.115,-0.765
23-36-53.471,101,0.067,0.588,1.712,133.831,-75.763,44.697,23,6,-34,16.65,-2.27,-101.31,0.629,0.077,-0.124,-0.763
23-36-53.480,102,0.019,0.425,1.607,165.359,-91.854,70.324,23,5,-35,18.02,-3.15,-101.08,0.631,0.079,-0.138,-0.760
23-36-53.490,103,0.030,0.366,1.536,186.007,-114.504,83.086,23,4,-36,19.65,-4.25,-100.72,0.633,0.081,-0.155,-0.754
23-36-53.501,104,-0.006,0.281,1.371,187.491,-134.417,88.845,22,2,-38,21.46,-5.60,-100.34,0.636,0.082,-0.174,-0.748
23-36-53.511,105,-0.104,0.178,1.020,151.455,-158.883,90.636,22,1,-39,23.27,-7.21,-100.04,0.638,0.082,-0.194,-0.741
23-36-53.520,106,0.004,0.184,0.707,92.835,-174.573,86.396,21,0,-40,24.62,-9.06,-99.83,0.640,0.078,-0.212,-0.734
23-36-53.531,107,0.014,0.130,0.318,93.583,-184.412,94.415,20,-1,-41,25.57,-11.03,-99.80,0.642,0.070,-0.229,-0.729
23-36-53.541,108,0.045,0.048,0.105,89.676,-157.698,103.215,19,-2,-41,26.48,-13.08,-99.73,0.643,0.062,-0.245,-0.723
23-36-53.551,109,0.079,0.004,0.093,101.680,-113.518,99.305,18,-3,-42,27.33,-14.90,-99.49,0.646,0.055,-0.260,-0.716
23-36-53.561,110,0.141,-0.001,0.134,121.673,-74.231,83.291,18,-4,-43,28.28,-16.31,-99.12,0.649,0.052,-0.273,-0.708
23-36-53.571,111,0.173,0.065,0.051,140.269,-55.586,59.571,18,-6,-43,29.42,-17.30,-98.70,0.652,0.053,-0.285,-0.701
23-36-53.581,112,0.220,0.171,-0.142,147.657,-41.794,32.532,17,-7,-43,30.78,-18.05,-98.47,0.653,0.057,-0.297,-0.694
23-36-53.591,113,0.197,0.308,-0.314,127.365,-26.093,7.717,17,-8,-44,32.21,-18.55,-98.43,0.653,0.062,-0.308,-0.689
23-36-53.601,114,0.135,0.345,-0.466,68.610,11.048,-16.056,17,-9,-44,33.44,-18.76,-98.51,0.652,0.067,-0.317,-0.685
23-36-53.610,115,-0.039,0.422,-0.336,14.927,66.994,-30.465,17,-10,-44,34.07,-18.51,-98.56,0.651,0.072,-0.319,-0.684
23-36-53.620,116,0.080,0.220,-0.245,-29.405,114.395,-23.624,19,-9,-44,34.08,-17.69,-98.35,0.652,0.078,-0.315,-0.685
23-36-53.630,117,-0.002,0.061,0.036,-75.854,144.634,-13.724,19,-8,-44,33.60,-16.60,-97.85,0.654,0.084,-0.306,-0.687
23-36-53.640,118,-0.001,0.099,0.319,-165.992,184.184,-41.152,21,-7,-44,32.53,-15.24,-97.15,0.657,0.088,-0.292,-0.689
23-36-53.651,119,0.090,0.265,0.674,-208.517,207.303,-60.921,22,-5,-43,30.65,-13.42,-96.53,0.661,0.091,-0.271,-0.694
23-36-53.660,120,0.135,0.408,1.129,-169.773,226.842,-65.460,24,-3,-42,28.50,-11.29,-96.02,0.663,0.093,-0.246,-0.701
23-36-53.670,121,0.140,0.497,1.635,-120.927,232.340,-55.847,26,-1,-41,26.82,-8.96,-95.50,0.665,0.099,-0.222,-0.706
23-36-53.680,122,0.149,0.469,2.028,-115.502,204.728,-46.470,27,0,-39,25.55,-6.66,-94.98,0.667,0.107,-0.201,-0.709
23-36-53.690,123,0.164,0.433,2.188,-142.520,160.584,-47.232,28,1,-38,24.32,-4.66,-94.56,0.669,0.114,-0.182,-0.712
23-36-53.700,124,0.106,0.441,2.339,-117.657,104.817,-50.365,29,2,-37,22.91,-3.06,-94.38,0.670,0.116,-0.163,-0.715
23-36-53.710,125,0.114,0.484,2.276,-93.172,47.954,-47.318,29,3,-36,21.77,-1.97,-94.47,0.669,0.116,-0.150,-0.719
23-36-53.720,126,0.083,0.477,2.253,-75.792,1.705,-38.409,29,4,-36,20.88,-1.44,-94.76,0.668,0.114,-0.142,-0.722
23-36-53.730,127,0.040,0.501,2.187,-49.680,-45.864,-26.734,28,4,-36,20.15,-1.35,-95.12,0.666,0.109,-0.137,-0.725
23-36-53.740,128,-0.042,0.495,2.060,-10.320,-85.924,-25.017,28,5,-36,19.73,-1.74,-95.54,0.664,0.104,-0.137,-0.728
23-36-53.750,129,-0.054,0.453,1.821,-7.570,-124.034,-18.578,27,4,-36,19.65,-2.51,-96.08,0.661,0.098,-0.141,-0.730
23-36-53.760,130,-0.027,0.480,1.706,-42.380,-155.112,-13.296,26,5,-37,19.57,-3.66,-96.68,0.659,0.089,-0.148,-0.732
23-36-53.770,131,-0.090,0.446,1.558,-101.727,-174.515,-10.989,25,4,-36,19.10,-5.11,-97.32,0.656,0.076,-0.154,-0.735
23-36-53.780,132,-0.024,0.426,1.435,-172.331,-186.804,-26.812,24,5,-36,18.09,-6.74,-98.01,0.654,0.059,-0.157,-0.738
23-36-53.790,133,0.021,0.308,1.218,-264.645,-204.012,-29.019,22,7,-35,16.34,-8.46,-98.83,0.650,0.037,-0.155,-0.743
23-36-53.800,134,0.029,0.301,1.064,-313.191,-217.083,-32.327,21,8,-33,13.78,-10.38,-99.67,0.646,0.008,-0.149,-0.749
23-36-53.811,135,0.016,0.215,0.868,-375.842,-223.616,-32.353,19,11,-32,10.73,-12.43,-100.46,0.641,-0.023,-0.140,-0.754
