Time,Frame Counter,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
17-37-22.105,241,,,,0.000,0.000,0.000,15,-20,-33,55.700,2.740,12.400,,,,
17-37-22.107,242,,,,0.000,0.000,0.000,15,-20,-33,55.700,2.740,12.400,,,,
17-37-22.117,243,,,,0.000,0.000,0.000,15,-19,-33,55.700,2.740,12.400,,,,
17-37-22.127,244,,,,0.000,0.000,0.000,8,-20,-33,55.700,2.740,12.400,,,,
17-37-22.137,245,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.147,246,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.157,247,,,,0.000,0.000,0.000,11,-20,-33,55.700,2.740,12.400,,,,
17-37-22.167,248,,,,0.000,0.000,0.000,11,-21,-33,55.700,2.740,12.400,,,,
17-37-22.177,249,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.740,12.400,,,,
17-37-22.187,250,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-22.205,251,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.740,12.400,,,,
17-37-22.207,252,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.218,253,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.228,254,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.238,255,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.248,256,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.258,257,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.267,258,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.277,259,,,,0.000,0.100,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.288,260,,,,0.100,0.000,0.000,10,-20,-33,55.700,2.750,12.400,,,,
17-37-22.305,261,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.750,12.400,,,,
17-37-22.307,262,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.317,263,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.327,264,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.337,265,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.347,266,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.358,267,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.367,268,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.377,269,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.388,270,,,,0.000,0.000,0.000,9,-20,-34,55.700,2.760,12.400,,,,
17-37-22.405,271,,,,0.000,-0.100,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.407,272,,,,0.000,-0.100,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.417,273,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.427,274,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.437,275,,,,0.000,0.000,0.000,9,-20,-33,55.700,2.760,12.400,,,,
17-37-22.447,276,,,,0.000,0.000,0.000,10,-20,-33,55.700,2.760,12.400,,,,
17-37-22.457,277,,,,0.000,0.000,0.000,9,-20,-32,55.700,2.760,12.400,,,,
